Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
66000	-6.94274	-20.2407	13.2979	0.1367321	0.0001395474	0.002323503	0.09130209	0.0765103	0.03820571	0.05875134	0.1294326
66500	-9.77611	-20.9885	11.2124	0.05140662	0.008325236	0.001268801	0.1984495	0.0297195	0.1088783	0.2124117	0.02721205
67000	-7.45281	-20.4291	12.9763	0.1417369	0.00164818	0.004178786	0.05065825	0.05034381	0.201449	0.03298229	0.06647985
67500	-3.03138	-21.2336	18.2022	0.04676395	0.005264387	0.0004405881	0.05049259	0.0242224	0.03635717	0.1205144	0.00412494
68000	-0.224556	-19.6067	19.3822	0.03493804	5.43652e-05	0.001888094	0.002329297	0.1388277	0.0127163	0.01176715	0.02666389
68500	0.0720471	-18.7135	18.7855	0.1001323	5.215348e-05	0.001738387	0.007913667	0.02770349	0.00958153	0.05446933	0.05742497
69000	-5.52588	-21.5592	16.0333	0.1393522	0.0001152071	0.01449926	0.04649358	0.05725175	0.01107593	0.08254219	0.04529655
69500	-4.30556	-20.5894	16.2838	0.001339432	0.0004341674	0.001069009	0.1329835	0.06207694	0.06603328	0.03525216	0.08491406
70000	-8.26816	-19.4668	11.1986	0.1729569	0.00117831	0.007634796	0.05267944	0.1495704	0.02246368	0.1238953	0.1079839
70500	-0.291944	-18.6117	18.3197	0.07318915	0.0001639867	0.003251412	0.009797295	0.02490378	0.114381	0.03358567	0.0230336
71000	-5.60567	-19.2426	13.6369	0.09207184	0.00136449	0.003175226	0.06791893	0.08836803	0.1562482	0.07281335	0.03448851
71500	-5.27722	-20.4126	15.1353	0.07472894	0.006771046	0.001651899	0.03506973	0.0372826	0.02580541	0.2238002	0.03641662
72000	-4.04499	-20.0247	15.9797	0.09020474	5.699508e-05	0.002946136	0.08383038	0.06935729	0.0237068	0.09823873	0.03096754
72500	-1.3089	-19.2849	17.976	0.07486109	0.001959422	0.003614008	0.007576938	0.02225081	0.02550646	0.1497097	0.01401588
73000	-2.50642	-21.1054	18.599	0.09527314	0.00162938	0.003583127	0.04366373	0.03754293	0.03462838	0.0321816	0.01984263
